X,Player,avg,gp.gs,ab,r,h,X2b,X3b,hr,rbi,tb,slg.,bb,hbp,so,gdp,ob.,sf,sh,sb.att,era,w.l,app.gs,cg,sho,sv,ip,er,b.avg,wp,bk,Year,Gametype
2468,"MARTINA Jareau, ADO",0.333,3-2,9,2,3,0,0,0,0,3,0.333,1,0,2,1,0.4,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2469,"MARTINUS Calvin, ADO",0.333,3-3,9,0,3,0,0,0,0,3,0.333,1,0,2,0,0.4,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2470,"GUSTINA Gregory, SPF",0.333,5-5,6,1,2,1,0,0,3,3,0.5,0,0,3,0,0.333,0,0,0-0,5.4,2-1,3-3,0,0/0,0,18.1,11,0.307,2,0,"Seizoen 2011",Play-Down
2471,"YNTEMA Orlando, UVV",0.333,4-4,3,2,1,0,0,1,1,4,1.333,1,0,0,0,0.5,0,0,0-0,2.33,3-0,3-3,0,0/0,0,19.1,5,0.25,0,0,"Seizoen 2011",Play-Down
2472,"DUNLOP Aldric, ADO",0.333,1-1,3,0,1,0,0,0,0,1,0.333,1,0,0,0,0.5,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2473,"RUDOLPH Imco, SPF",0.3,8-5,20,3,6,1,0,0,2,7,0.35,0,1,5,1,0.333,0,0,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2474,"BOUWMAN Ronald, HCA",0.3,6-2,10,4,3,1,0,0,4,4,0.4,1,0,2,0,0.364,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2475,"MINER Kevin, HCA",0.286,4-3,7,2,2,0,0,0,1,2,0.286,0,0,1,0,0.286,0,0,0-0,5.4,1-1,2-2,0,0/0,0,13.1,8,0.294,5,0,"Seizoen 2011",Play-Down
2476,"SABEL Bart, HCA",0.263,6-5,19,2,5,1,0,0,1,6,0.316,2,0,7,0,0.333,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2477,"DELFINA Jeff, UVV",0.2,6-4,15,6,3,1,0,0,2,4,0.267,3,0,5,0,0.333,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2478,"BERNARDUS Wesley, HCA",0.182,3-3,11,1,2,0,0,0,0,2,0.182,1,0,1,0,0.25,0,0,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2479,"HERMANS Jeroen, UVV",0.182,5-4,11,1,2,0,0,0,0,2,0.182,1,1,2,0,0.308,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2480,"REDAN Irving, ADO",0.167,6-2,6,3,1,0,0,0,0,1,0.167,4,0,4,0,0.5,0,0,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2481,"NIEVELD Kevin, ADO",0.167,2-2,6,0,1,0,0,0,2,1,0.167,3,0,3,0,0.444,0,0,0-0,9,0-1,1-1,0,0/0,0,6,6,0.308,4,0,"Seizoen 2011",Play-Down
2482,"ROSEBURG Jair, ADO",0.15,7-6,20,1,3,1,0,0,2,4,0.2,1,1,7,0,0.208,2,0,0-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2483,"AMSTEL v Jorin, HCA",0.143,3-2,7,1,1,0,0,0,1,1,0.143,1,0,1,0,0.222,1,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2484,"BALDEE Jan, ADO",0.125,7-4,16,2,2,0,0,0,0,2,0.125,1,0,5,0,0.176,0,0,0-0,13.5,0-0,1-0,0,0/0,0,2,3,0.25,3,0,"Seizoen 2011",Play-Down
2485,"JONGERIUS Norbert, UVV",0.048,9-5,21,4,1,0,0,0,0,1,0.048,1,0,1,0,0.091,0,1,2-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2486,"DOESBURG v Peter, HCA",0,5-4,12,0,0,0,0,0,2,0,0,2,1,5,0,0.188,1,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2487,"WABBIJN Patrick, ADO",0,5-3,7,1,0,0,0,0,0,0,0,2,1,3,0,0.3,0,0,0-0,14.54,0-0,2-0,0,0/0,0,4.1,7,0.3,3,0,"Seizoen 2011",Play-Down
2488,"JANSSEN Bart, SPF",0,3-2,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2489,"JANSSEN Marc, SPF",0,2-2,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2490,"BOL Lennart, ADO",0,3-2,5,0,0,0,0,0,0,0,0,1,0,0,1,0.167,0,1,0-0,3.72,1-1,2-1,0,0/0,0,9.2,4,0.282,2,0,"Seizoen 2011",Play-Down
2491,"VOORN Ricky, ADO",0,3-2,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0-0,9.95,0-0,2-1,0,0/0,0,6.1,7,0.419,1,0,"Seizoen 2011",Play-Down
2492,"CARRINGTON Bobby, SPF",0,4-4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,4.5,2-1,3-3,0,0/0,0,22,11,0.183,1,0,"Seizoen 2011",Play-Down
2493,"MELENDEZ Moises, HCA",0,6-1,4,0,0,0,0,0,1,0,0,1,0,0,0,0.2,0,0,1-1,0,1-0,5-0,0,0/0,0,10.2,0,0.118,0,0,"Seizoen 2011",Play-Down
2495,"GROOTVELD Maarten, HCA",0,3-1,4,0,0,0,0,0,0,0,0,1,0,2,0,0.2,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2496,"OVERMAN Jurien, UVV",0,2-1,4,0,0,0,0,0,0,0,0,1,0,2,0,0.2,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2497,"WARD Kyle, HCA",0,4-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,1.84,1-1,3-3,0,0/0,0,14.2,3,0.377,0,0,"Seizoen 2011",Play-Down
2498,"RIJNBERGEN Brandon, UVV",0,1-0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2499,"NIJHOF Brennan, UVV",0,1-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2500,"PHELIPA Soekarno, SPF",0,1-0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2501,"LAMBERTINA Quincy, ADO",0,4-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,9,0-1,4-2,1,0/0,0,11,11,0.353,4,0,"Seizoen 2011",Play-Down
2502,"VALDEZ Laurens, SPF",0,4-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,34.71,0-0,4-0,0,0/0,0,2.1,9,0.5,0,0,"Seizoen 2011",Play-Down
2503,"FASTING Glenn, SPF",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,0,0-0,1-0,0,0/0,0,1.1,0,0,0,0,"Seizoen 2011",Play-Down
2504,"VROLIJK J, SPF",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,0,0-0,1-0,0,0/0,0,0.2,0,0.333,0,0,"Seizoen 2011",Play-Down
2505,"EIJPE Joey, HCA",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,0,0-0,1-0,0,0/0,0,2,0,0,0,0,"Seizoen 2011",Play-Down
2506,"LEEUWEN van Juri, UVV",0,2-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,4.5,0-0,2-0,0,0/0,0,2,1,0.286,0,0,"Seizoen 2011",Play-Down
2507,"RAAFF Andy, UVV",0,1-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Play-Down
2508,"ROOVERS Kevin, HCA",0,3-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,10.38,1-1,3-2,0,0/0,0,8.2,10,0.375,0,0,"Seizoen 2011",Play-Down
2509,"BURGERSDIJK Dennis, HCA",0,4-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,2.38,1-0,3-1,0,0/0,0,11.1,3,0.283,0,0,"Seizoen 2011",Play-Down
2510,"SCHEL Robin, HCA",0,3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,0,0-0,3-0,0,0/0,0,5,0,0,1,0,"Seizoen 2011",Play-Down
2511,"ANCUM van Timo, UVV",0,3-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,6.08,1-1,3-3,1,1/0,0,13.1,9,0.275,1,0,"Seizoen 2011",Play-Down
2512,"SEEBUS Rudy, SPF",0,2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,4.66,0-2,2-2,0,0/0,0,9.2,5,0.425,0,0,"Seizoen 2011",Play-Down
2513,"ZIJL van Jurjen, UVV",0,3-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,2.81,1-1,3-3,0,0/0,0,16,5,0.246,0,0,"Seizoen 2011",Play-Down
2514,"MARTIN Nick, ADO",0,3-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,4.85,0-2,3-1,1,0/0,1,13,7,0.229,2,0,"Seizoen 2011",Play-Down
2515,"MULDER Maarten, HCA",0,5-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,1.5,0-0,5-0,0,0/0,2,6,1,0.19,1,0,"Seizoen 2011",Play-Down
2516,"KLARENBEEK Joran, HCA",0,4-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0-0,4.91,1-0,3-1,0,0/0,0,7.1,4,0.345,0,0,"Seizoen 2011",Play-Down
2517,"HENNEP Marc, SPF",0,7-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,1.15,0-0,7-1,0,0/0,0,15.2,2,0.228,0,0,"Seizoen 2011",Play-Down
2518,"GIRIGORI Jurandy, ADO",0,4-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,9.47,0-3,4-3,0,0/0,0,19,20,0.375,4,1,"Seizoen 2011",Play-Down
2519,"WIT de Joep, UVV",0,3-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,2.25,0-0,3-0,0,0/0,0,4,1,0.267,0,0,"Seizoen 2011",Play-Down
2520,"KAREL Sedley, UVV",0,7-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,1.12,1-0,6-0,0,0/0,0,8,1,0.222,2,0,"Seizoen 2011",Play-Down
2521,"BAZOER Quensley, ADO",0.556,3-3,9,2,5,2,0,0,0,7,0.778,1,1,1,0,0.636,0,1,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2522,"BUFFA Brent, EUR",0.4,3-3,10,0,4,0,0,0,2,4,0.4,4,0,0,0,0.571,0,0,0-0,3.18,1-1,2-1,0,0/0,0,11.1,4,0.244,1,0,"Seizoen 2011",Promotie/Degradatie
2523,"MARTIS Aldrin, EUR",0.375,3-3,8,2,3,0,0,0,3,3,0.375,2,1,0,1,0.545,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2524,"HASSELL Gregory, ADO",0.333,3-3,9,2,3,0,0,0,2,3,0.333,5,1,1,0,0.6,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2525,"HERSILIA Gino, ADO",0.25,3-3,12,4,3,0,0,0,1,3,0.25,2,0,2,1,0.357,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2526,"SEITZINGER Remco, ADO",0.25,3-3,12,2,3,1,0,0,3,4,0.333,0,2,3,1,0.357,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2527,"HENSON Eugene, ADO",0.25,3-3,12,3,3,1,0,0,3,4,0.333,1,1,0,0,0.333,1,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2528,"NUTS Dylan, EUR",0.25,3-3,8,1,2,0,0,0,0,2,0.25,3,0,2,0,0.455,0,1,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2529,"LOPEZ Gyenuar, ADO",0.2,2-2,10,0,2,0,1,0,3,4,0.4,0,0,1,0,0.2,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2530,"SCHIPPERUS Mark, EUR",0.2,3-3,10,1,2,0,0,0,0,2,0.2,3,0,2,0,0.385,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2531,"SPROTT Jeffrey, EUR",0.2,3-3,10,4,2,1,0,1,1,6,0.6,3,2,4,0,0.467,0,0,2-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2532,"MARTINA Jareau, ADO",0.125,2-1,8,2,1,0,1,0,0,3,0.375,0,1,1,0,0.222,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2533,"GROENENDIJK Ben, EUR",0.111,3-3,9,0,1,0,0,0,2,1,0.111,4,1,2,0,0.429,0,0,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2534,"PRONK Jochem, EUR",0.091,3-3,11,1,1,0,0,0,1,1,0.091,0,0,0,0,0.083,1,2,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2535,"SIMMONDS Calvin, EUR",0.077,3-3,13,1,1,0,0,0,0,1,0.077,1,0,1,1,0.143,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2536,"GUZMAN Aldy, EUR",0.077,3-3,13,3,1,1,0,0,0,2,0.154,3,0,5,0,0.25,0,0,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2538,"STEWARD Dave, ADO",1,1-1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2539,"LAMMERTS Allard, EUR",0.5,3-0,2,1,1,0,0,0,1,1,0.5,1,0,0,0,0.667,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2540,"DEURSEN v Rik, EUR",0.5,1-0,2,0,1,0,0,0,1,1,0.5,1,0,0,0,0.667,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2541,"GUMBS Harvey, ADO",0.25,2-2,8,0,2,0,0,0,1,2,0.25,0,0,3,0,0.25,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2542,"ROSEBURG Jair, ADO",0.25,1-1,4,0,1,0,0,0,0,1,0.25,0,0,0,0,0.25,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2543,"TROMP Enrique, ADO",0.25,2-1,4,1,1,0,0,0,0,1,0.25,3,0,2,0,0.571,0,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2544,"NIEVELD Kevin, ADO",0.25,1-1,4,0,1,0,0,0,1,1,0.25,0,0,1,0,0.2,1,0,0-0,6,0-1,1-0,0,0/0,0,3,2,0.25,0,0,"Seizoen 2011",Promotie/Degradatie
2545,"BALDEE Jan, ADO",0,3-2,6,2,0,0,0,0,0,0,0,0,1,3,0,0.143,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2546,"MARTINUS Calvin, ADO",0,3-1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2547,"EDUARDA Orlanda, EUR",0,1-0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2548,"WABBIJN Patrick, ADO",0,2-0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0-0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2011",Promotie/Degradatie
2549,"KLOOSTER vt Dirk, KIN",0.4,35-35,140,30,56,7,2,1,18,70,0.5,13,4,11,6,0.462,1,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2550,"VASQUEZ Wuillians M, HCA",0.376,32-32,117,23,44,9,0,1,28,56,0.479,23,0,12,2,0.472,2,0,6-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2551,"ENGELHARDT Bryan, KIN",0.373,40-40,153,37,57,11,1,6,36,88,0.575,16,4,19,2,0.443,1,0,16-19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2552,"KOSTER Lennart, PIO",0.344,27-27,96,16,33,8,0,0,15,41,0.427,18,1,12,3,0.444,2,0,1-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2553,"LEGITO Raily, NEP",0.34,39-39,144,30,49,14,1,3,35,74,0.514,23,5,9,5,0.445,1,0,11-16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2554,"JONG de Sidney, AMS",0.333,38-38,144,26,48,4,0,1,20,55,0.382,25,1,13,3,0.43,2,0,1-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2555,"GABRIELS Bart, HCA",0.326,39-37,132,21,43,7,1,1,15,55,0.417,23,4,24,2,0.44,0,4,8-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2556,"JONG de Bas, AMS",0.324,36-34,136,24,44,11,3,3,30,70,0.515,8,5,12,3,0.38,1,2,2-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2557,"ARENDS Jeffrey, NEP",0.323,40-37,133,24,43,7,0,0,22,50,0.376,25,6,14,3,0.448,1,0,4-4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2558,"GARIO Mervin, PIO",0.323,39-37,127,25,41,5,1,1,17,51,0.402,21,12,19,4,0.463,0,4,6-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2559,"JOZEFA Rafael, KIN",0.32,41-41,150,34,48,11,2,2,29,69,0.46,11,8,20,2,0.396,0,1,6-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2560,"DRAIJER Remco, KIN",0.316,40-40,136,24,43,8,1,0,17,53,0.39,18,1,20,1,0.397,1,4,3-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2561,"BERKENBOSCH Kenny, AMS",0.316,41-41,152,24,48,11,1,1,21,64,0.421,19,1,26,6,0.389,3,1,2-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2562,"ROMBLEY Danny, NEP",0.309,40-39,149,32,46,7,4,1,34,64,0.43,17,7,18,4,0.393,5,0,12-16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2563,"DAANTJI Shaldimar, NEP",0.306,37-33,111,24,34,4,1,0,16,40,0.36,15,1,21,3,0.379,5,5,4-4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2564,"PLUIJMERS Michael, HCA",0.305,42-39,154,24,47,6,1,0,10,55,0.357,21,1,29,0,0.39,1,3,3-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2565,"MEEUWIS Martijn, NEP",0.304,32-28,102,19,31,1,2,0,17,36,0.353,15,1,9,3,0.395,1,1,4-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2566,"DILLE Benjamin, NEP",0.299,40-39,154,39,46,5,0,1,22,54,0.351,15,5,6,6,0.375,2,8,7-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2567,"KEMP Dwayne, NEP",0.296,37-36,152,38,45,14,5,0,26,69,0.454,15,2,15,5,0.36,3,2,7-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2568,"BALENTINA Ramiro, SPA",0.291,41-41,148,16,43,3,3,0,12,52,0.351,12,2,36,5,0.35,1,3,4-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2569,"ROOI Vince, AMS",0.286,42-42,154,23,44,6,1,0,15,52,0.338,29,0,21,3,0.397,1,1,2-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2570,"SLUIJTER Jeroen, NEP",0.286,34-33,112,21,32,3,0,0,15,35,0.313,20,2,21,0,0.4,1,4,3-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2571,"MICHEL Rodney, KIN",0.284,39-36,141,23,40,4,1,0,18,46,0.326,5,1,15,4,0.305,4,2,6-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2572,"HALMAN Jason, KIN",0.279,41-41,172,27,48,11,0,2,33,65,0.378,8,2,30,6,0.314,3,1,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2573,"ISENIA Percy, SPA",0.279,38-38,129,11,36,6,0,1,16,45,0.349,17,0,9,3,0.349,6,1,2-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2574,"CONNOR Wesley, AMS",0.279,36-32,129,17,36,5,0,1,12,44,0.341,10,2,16,4,0.34,0,1,5-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2575,"HENRIQUE Roeland jr, AMS",0.276,38-36,145,23,40,3,2,0,11,47,0.324,15,2,22,0,0.352,0,2,8-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2576,"RICHARDSON Berti, ADO",0.276,33-29,116,10,32,2,0,0,9,34,0.293,15,3,16,4,0.37,1,0,5-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2577,"REGINA Eldrion, NEP",0.274,37-29,113,24,31,5,1,0,15,38,0.336,16,2,14,5,0.371,1,2,4-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2578,"KOEIMAN Zair, AMS",0.268,35-35,142,15,38,4,1,0,16,44,0.31,6,1,32,2,0.296,3,3,4-4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2579,"KORZENIEWSKI Michel, ADO",0.255,38-36,137,7,35,3,0,0,6,38,0.277,12,1,8,7,0.32,0,2,0-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2580,"NEDERPELT van Kevin, SPA",0.254,40-38,134,14,34,5,1,0,9,41,0.306,18,1,42,2,0.344,1,6,3-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
2581,"ANTHONY Adrian, HCA",0.253,42-40,150,16,38,5,2,1,18,50,0.333,20,2,39,1,0.343,3,0,8-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seizoen 2010",Hoofdklasse
